"Item";"Descrição dos Serviços";"Quantidade";"Und.";"Valor Unitário";"Valor Total R$";"Fonte"
"2.2.1.3";"Concreto manual Pilares e viga";"5,4";"m3";"R$ 300,00";"R$ 1.620,00";"[cite: 189]"
"2.2.1.4";"Forma laje Escritório";"23,04";"m2";"R$ 95,00";"R$ 2.188,80";"[cite: 189]"
"2.2.1.5";"Aço laje escritório";"120";"kg";"R$ 10,00";"R$ 1.200,00";"[cite: 189]"
"2.2.1.6";"Concreto Laje Escritório";"700";"vb";"R$ 700,00";"R$ 700,00";"[cite: 189]"
"2.3";"Superestrutura";"";"";"";"R$ 58.864,75";"[cite: 189]"
"2.3.1";"Vedação Prédio";"";"";"";"";"[cite: 189]"
"2.3.1.1";"Assentamento de paredes - Alvenaria";"406,56";"m2";"R$ 35,00";"R$ 14.229,60";"[cite: 189]"
"2.3.1.2";"Chapisco, Reboco Externo e Interno";"813,12";"m2";"R$ 50,00";"R$ 40.656,00";"[cite: 189]"
"2.3.1.3";"Acabamento de Argamassa em portas e janelas";"109,87";"m";"R$ 25,00";"R$ 2.746,75";"[cite: 189]"
"2.3.1.4";"Instalação de Pingadeira";"82,16";"m";"R$ 15,00";"R$ 1.232,40";"[cite: 189]"
"2.4";"Pisos";"";"";"";"R$ 32.000,00";"[cite: 189]"
"2.4.1";"Regularização e execução de contrapiso";"163,22";"m2";"R$ 35,00";"R$ 5.712,70";"[cite: 189]"
"2.4.2";"Impermeabilização de área molhadas com argamassa polimérica";"26,6";"m2";"R$ 7,00";"R$ 186,20";"[cite: 189]"
"2.4.3";"Execução de revestimento porcelanato piso";"163,22";"m2";"R$ 77,00";"R$ 12.567,94";"[cite: 189]"
"2.4.4";"Execução de rodapé";"65,59";"m";"R$ 30,00";"R$ 1.967,70";"[cite: 189]"
"2.4.5";"Execução de rejunte em Porcelanato";"163,22";"m2";"R$ 8,00";"R$ 1.302,98";"[cite: 189]"
"2.4.6";"Execução de calçada externa ao redor do prédio";"80,49";"m2";"R$ 37,50";"R$ 3.018,38";"[cite: 189]"
"2.4.7";"Execução de revestimento cerâmico piso da calçada";"80,49";"m2";"R$ 90,00";"R$ 7.244,10";"[cite: 189]"
"2.5";"Paredes";"";"";"";"R$ 27.822,15";"[cite: 189]"
"2.5.1";"Execução de revestimento em parede dos banheiros";"85,61";"m2";"R$ 35,00";"R$ 2.996,35";"[cite: 189, 192]"
"2.5.2";"Execução de revestimento fachada";"80,43";"m2";"R$ 60,00";"R$ 4.825,80";"[cite: 192]"
"2.5.3";"Execução de selador, massa acrilica/pva, Pintura prédio";"646,96";"m2";"R$ 31,00";"R$ 20.000,00";"[cite: 192]"
"2.6";"Teto";"";"";"";"R$ 13.057,60";"[cite: 192]"
"2.6.1";"Execução de forro acartonado";"163,22";"m2";"R$ 45,00";"R$ 7.344,90";"[cite: 192]"
"2.6.2";"Pintura de forro";"163,22";"m2";"R$ 35,00";"R$ 5.712,70";"[cite: 192]"
"2.7";"Instalações";"";"";"";"";"[cite: 192]"
"2.7.1";"Instalação Elétrica";"";"";"";"R$ 17.107,20";"[cite: 192]"
"2.7.1.1";"Execução de Mureta - (Entrada padrão e medição).";"";"";"";"";"[cite: 192]"
"2.7.1.2";"Infraestrutura elétrica/CFTV";"190,08";"m2";"R$ 90,00";"R$ 17.107,20";"[cite: 192]"
"2.7.2";"Instalações Hidráulicas";"";"";"";"R$ 20.160,00";"[cite: 192]"
"2.7.2.1";"Água Fria";"17";"pt.";"R$ 280,00";"R$ 4.760,00";"[cite: 192]"
"2.7.2.2";"Esgoto sanitário";"16";"pt.";"R$ 350,00";"R$ 5.600,00";"[cite: 192]"
"2.7.2.3";"Execução de caixas de inspeção - Esgoto";"4";"und.";"R$ 250,00";"R$ 1.000,00";"[cite: 192]"
"2.7.2.4";"Execução de Fossa e Sumidouro";"vb";"vb";"R$ 8.000,00";"R$ 8.000,00";"[cite: 192]"
"2.7.2.5";"Assentamento de louças e metais";"vb";"vb";"R$ 800,00";"R$ 800,00";"[cite: 192]"
"2.7.3";"Climatização";"";"";"";"R$ 6.300,00";"[cite: 192]"
"2.7.3.1";"Infra de Ar-condicionado";"6";"und.";"R$ 350,00";"R$ 2.100,00";"[cite: 192]"
"2.7.3.2";"Dreno de ar-condicionado";"6";"Und.";"R$ 300,00";"R$ 1.800,00";"[cite: 192]"
"2.7.3.3";"Instalação ar-condicionado";"6";"Und.";"R$ 400,00";"R$ 2.400,00";"[cite: 192]"
"2.8.4";"Portas, Marquise e Esquadrias";"";"";"";"R$ 7.000,00";"[cite: 192]"
"2.8.4.1";"Instalação de Portas em MDF ou Alumínio";"10";"und.";"R$ 300,00";"R$ 3.000,00";"[cite: 192]"
"2.8.4.2";"Execução de Marquise ACM + Estrutura";"68,25";"m2";"R$ 70,00";"R$ 4.000,00";"[cite: 192]"
"3.0";"OBRAS DE PERIFERIA (ÁREA EXTERNA)";"";"";"";"";"[cite: 192]"
"3.1";"Muro de vedação";"";"";"";"R$ 19.228,75";"[cite: 192]"
"3.1.1";"Fundação - Sapatas, Viga Baldrame e Impermeabilização";"89,5";"m";"R$ 30,00";"R$ 2.685,00";"[cite: 192]"
"3.1.2";"Estrutura - Pilares e vigas superiores";"169,5";"m";"R$ 25,00";"R$ 4.237,50";"[cite: 195]"
"3.1.3";"Alvenaria em tijoso cerâmico";"223,75";"m2";"R$ 25,00";"R$ 5.593,75";"[cite: 195]"
"3.1.4";"Chapisco, Reboco, Pingadeira";"223,75";"m2";"R$ 30,00";"R$ 6.712,50";"[cite: 195]"
"3.2";"Drenagem de águas Pluviais";"";"";"";"R$ 40.560,00";"[cite: 195]"
"3.2.1";"Lançamento de tubo pvc, Diâmetro = 100mm com lançamento de colchão de areia e reaterro.";"65";"m";"R$ 30,00";"R$ 1.950,00";"[cite: 195]"
"3.2.2";"Lançamento de tubo pvc, Diâmetro 150mm com lançamento de colchão de areia e reaterro.";"42";"m";"R$ 40,00";"R$ 1.680,00";"[cite: 195]"
"3.2.3";"Lançamento de tubo pvc, Diâmetro 200mm com lançamento de colchão de areia e reaterro.";"70";"m";"R$ 50,00";"R$ 3.500,00";"[cite: 195]"
"3.2.4";"Lançamento de tubo pvc, Diâmetro = 250mm com lançamento de colchão de areia e reaterro.";"13";"m";"R$ 80,00";"R$ 1.040,00";"[cite: 195]"
"3.2.5";"Lançamento de tubo pvc, Diâmetro 300mm com lançamento de colchão de areia e reaterro em via pública";"132";"m";"R$ 160,00";"R$ 21.120,00";"[cite: 195]"
"3.2.6";"Caixa de drenagem em manilha diâmetro 600mm";"9";"caixas";"R$ 250,00";"R$ 2.250,00";"[cite: 195]"
"3.2.7";"Canaleta em bloco estrutural (14x19x39cm)com vão interno de 20cm grauteado";"24";"m";"R$ 80,00";"R$ 1.920,00";"[cite: 195]"
"3.2.8";"Grelha para canaleta de drenagem com cantoneira e barra chata";"24";"m";"R$ 150,00";"R$ 3.600,00";"[cite: 195]"
"3.2.9";"Caixa de Inspeção 60x60cm em manilha";"7";"und.";"R$ 250,00";"R$ 1.750,00";"[cite: 195]"
"3.2.10";"Aro e tampa - Instalação das caixas de inspeção";"7";"und.";"R$ 250,00";"R$ 1.750,00";"[cite: 195]"
"3.3";"Caixa de Retenção de águas pluviais";"";"";"";"R$ 18.659,40";"[cite: 195]"
"3.3.1";"Fundação - Sapatas e Radier (Fundo Caixa)";"";"";"";"";"[cite: 195]"
"3.3.1.1";"Escavação manual para sapatas";"3,18";"m3";"R$ 200,00";"R$ 636,00";"[cite: 195]"
"3.3.1.2";"Aço das Sapatas";"16,92";"kg";"R$ 8,00";"R$ 135,36";"[cite: 195]"
"3.3.1.3";"Concreto das Sapatas";"0,54";"m3";"R$ 300,00";"R$ 162,00";"[cite: 195]"
"3.3.2";"Estrutura Caixa de Retenção";"";"";"";"";"[cite: 198]"
"3.3.2.1";"Escavação manual de viga baldrame";"2,43";"m3";"R$ 200,00";"R$ 486,00";"[cite: 198]"
"3.3.2.2";"Aço Viga baldrame, pilares, arranque da estrutura, viga superior e laje.";"710,88";"kg";"R$ 8,00";"R$ 5.687,04";"[cite: 198]"
"3.3.2.3";"Forma e desforma Estrutura";"74,45";"m2";"R$ 60,00";"R$ 4.467,00";"[cite: 198]"
"3.3.2.4";"Alvenaria em bloco estrutural grauteado";"55,8";"m2";"R$ 70,00";"R$ 3.906,00";"[cite: 198]"
"3.3.2.5";"Impermeabilização da caixa de retenção";"111";"m2";"R$ 6,00";"R$ 666,00";"[cite: 198]"
"3.3.2.6";"Concretagem das vigas, pilares e laje";"8,38";"m3";"R$ 300,00";"R$ 2.514,00";"[cite: 198]"
"3.4";"Sistema de água e óleo";"";"";"";"R$ 5.000,00";"[cite: 198]"
"3.4.1";"Caixa de Inspeção 60x60cm em manilha";"8";"und.";"R$ 250,00";"R$ 1.000,00";"[cite: 198]"
"3.4.2";"Aro e tampa - Instalação das caixas de inspeção";"8";"und.";"R$ 250,00";"R$ 1.000,00";"[cite: 198]"
"3.4.3";"Lançamento da rede de residuos oleosos tubo 100mm";"95";"m";"R$ 30,00";"R$ 1.800,00";"[cite: 198]"
"3.4.4";"Conteção para caixa separadora de água e óleo";"1";"und.";"R$ 400,00";"R$ 400,00";"[cite: 198]"
"3.4.5";"Instalação CSAO";"1";"und.";"R$ 800,00";"R$ 800,00";"[cite: 198]"
"3.6";"Lixeira, Casa do compressor, pintura ilha e sinalização horizontal";"";"";"";"R$ 7.640,00";"[cite: 198]"
"3.6.1";"Execução de lixeira (base concreto, fechamento alvenaria, laje em concreto armado, grade de fechamento.";"1";"und.";"R$ 1.500,00";"R$ 1.000,00";"[cite: 198]"
"3.6.2";"Execução de compressor (base concreto, fechamento alvenaria, laje em concreto armado, grade de fechamento.";"1";"und.";"R$ 1.500,00";"R$ 1.000,00";"[cite: 198]"
"3.6.3";"Execução de alvenaria para jardim";"69,2";"m";"R$ 25,00";"R$ 1.430,00";"[cite: 198]"
"3.6.4";"Execução de sinalização horinzontal e vertical";"1";"vb";"R$ 800,00";"R$ 800,00";"[cite: 198]"
"3.6.5";"Pintura de piso da ilha";"451,35";"m2";"R$ 8,00";"R$ 3.410,00";"[cite: 198]"
"3.7";"Piso em Concreto Armado/ Calçada externa";"";"";"";"R$ 38.383,90";"[cite: 198]"
"3.7.1";"Lançamento de colchão de areia, montagem armação de treliças/barras de transição e telas. Desempenamento e polimento (caso necessário). Junta de dilatação";"1245,45";"m2";"R$ 26,00";"R$ 32.381,70";"[cite: 198, 201]"
"3.7.2";"Calçada externas";"300,11";"m2";"R$ 20,00";"R$ 6.002,20";"[cite: 201]"
"3.8";"SASC- Sistema Abastecimento Subterrâneo de Combustível";"";"";"R$";"R$ 35.000,00";"[cite: 201]"
"3.8.1";"Instalação dos Tanques";"2";"und.";"";"";"[cite: 201]"
"3.8.2";"Instalação das Ilhas e concretagem das bases das ilhas de abastecimento";"3";"und.";"";"";"[cite: 201]"
"3.8.3";"Instalação dos Sumps de Bomba";"3";"Und.";"";"";"[cite: 201]"
"3.8.4";"Escavação e extensão das linhas de combustíveis ( PEAD)";"vb";"vb";"";"";"[cite: 201]"
"3.8.5";"Instalação de Flexíveis e Conexões";"vb";"vb";"";"";"[cite: 201]"
"3.8.6";"Instalação de Descarga a distância";"vb";"vb";"";"";"[cite: 201]"
"3.8.7";"Limpeza dos Tanques para recebimento de combustíveis";"2";"und.";"R$ 35.000,00";"R$ 35.000,00";"[cite: 201]"
"3.8.8";"Instalação das Bombas";"3";"und.";"";"";"[cite: 201]"
"3.8.9";"Infra - Automação";"vb";"vb";"";"";"[cite: 201]"
"";"TOTAL GERAL DOS SERVIÇOS - MÃO DE OBRA";"";"";"";"R$ 431.518,11";"[cite: 202]"
"";"BDI-5%";"";"";"";"R$ 23.481,89";"[cite: 202]"
"";"TOTAL GERAL DOS SERVIÇOS - MÃO DE OBRA + BDI";"";"";"";"R$ 455.000,00";"[cite: 202]"
